frame_number,object,x1,y1,x2,y2,confidence
0,car,936,287,1279,465,0.944129228591919
0,car,222,305,587,531,0.7580747008323669
1,car,931,286,1279,465,0.9436145424842834
1,car,216,305,584,532,0.7100269198417664
2,car,926,286,1279,465,0.9451306462287903
2,car,210,304,577,533,0.6598374843597412
3,car,920,287,1279,465,0.9426104426383972
3,car,204,306,567,533,0.3814872205257416
4,car,916,286,1279,464,0.942143440246582
4,car,196,306,560,533,0.6528454422950745
5,car,908,286,1279,465,0.9424187541007996
5,car,189,307,553,534,0.472409188747406
6,car,903,286,1279,465,0.9417085647583008
6,car,181,307,545,535,0.6053938269615173
7,car,896,286,1279,465,0.9405531287193298
7,car,174,307,532,537,0.7520060539245605
8,car,889,286,1279,465,0.9415453672409058
8,car,164,307,521,538,0.8584049940109253
9,car,883,286,1279,465,0.9408314228057861
9,car,153,307,516,540,0.876083493232727
10,car,874,286,1276,465,0.9412094354629517
10,car,144,308,507,541,0.8873913288116455
11,car,866,287,1268,465,0.9436063766479492
11,car,132,307,497,541,0.6458655595779419
12,car,857,286,1260,465,0.9441969394683838
12,car,121,307,485,543,0.8802183866500854
13,car,849,286,1249,465,0.9422542452812195
13,car,109,307,468,544,0.8544068932533264
14,car,839,286,1240,466,0.9386116862297058
14,car,95,307,461,546,0.8666921854019165
15,car,829,286,1228,465,0.9394786953926086
15,car,81,307,449,548,0.9002686738967896
16,car,821,287,1217,465,0.9357056617736816
16,car,65,307,434,550,0.8827841877937317
17,car,808,286,1207,465,0.9418412446975708
17,car,51,308,423,552,0.8786125779151917
18,car,798,286,1195,465,0.9430802464485168
18,car,34,307,413,554,0.8974089026451111
19,car,789,287,1183,465,0.9429438710212708
19,car,17,307,401,556,0.90302973985672
20,car,777,286,1171,465,0.93867027759552
20,car,0,308,379,558,0.8772809505462646
21,car,767,286,1159,465,0.9384728670120239
21,car,0,308,363,560,0.8967024087905884
22,car,758,286,1148,465,0.9331812262535095
22,car,0,308,347,557,0.9171224236488342
23,car,753,287,1142,465,0.9398385882377625
23,car,0,309,339,556,0.907625675201416
23,car,1246,327,1279,379,0.5312796235084534
24,car,740,287,1130,466,0.9371891021728516
24,car,0,309,322,558,0.9103571772575378
24,car,1232,325,1279,390,0.803623378276825
25,car,728,288,1116,466,0.9375113844871521
25,car,0,311,305,554,0.9070638418197632
25,car,1217,323,1279,391,0.6581830978393555
26,car,715,288,1100,467,0.9381548166275024
26,car,0,312,286,556,0.9026962518692017
26,car,1202,320,1279,391,0.6652935147285461
26,car,1199,319,1279,391,0.2510446310043335
27,car,702,289,1086,467,0.9339020252227783
27,car,0,313,266,557,0.916698694229126
27,car,1187,318,1279,391,0.4957940876483917
28,car,690,289,1071,467,0.9383537769317627
28,car,0,313,246,559,0.9157782793045044
28,car,1173,305,1279,391,0.8245594501495361
29,car,677,290,1057,468,0.9384523630142212
29,car,0,314,229,562,0.8984956741333008
29,car,1157,294,1279,391,0.81422358751297
30,car,662,290,1042,469,0.9370117783546448
30,car,1143,288,1279,391,0.8358817100524902
30,car,0,315,212,564,0.7619614005088806
31,car,650,291,1027,469,0.9358667731285095
31,car,0,316,195,566,0.7639083862304688
31,car,1127,286,1279,390,0.7607904672622681
32,car,636,292,1013,469,0.9346281290054321
32,car,0,316,178,569,0.9058353900909424
32,car,1112,285,1279,390,0.7418976426124573
33,car,623,292,997,469,0.9352637529373169
33,car,0,316,159,572,0.9174349904060364
33,car,1096,285,1279,390,0.7294363379478455
34,car,609,292,983,470,0.9359990358352661
